iter	Passed	Remaining
0	0	96
1	1	85
2	2	89
3	3	85
4	4	82
5	5	79
6	5	78
7	6	77
8	7	76
9	8	75
10	9	74
11	10	73
12	10	72
13	11	73
14	12	72
15	13	73
16	15	74
17	16	75
18	17	76
19	19	78
20	20	77
21	21	77
22	22	76
23	24	76
24	25	75
25	26	75
26	27	75
27	28	74
28	30	73
29	31	72
30	32	72
31	33	71
32	34	70
33	35	69
34	37	68
35	38	67
36	39	66
37	40	66
38	42	65
39	43	64
40	44	64
41	45	63
42	46	62
43	47	60
44	49	59
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	55	52
51	56	51
52	57	50
53	57	49
54	58	48
55	59	46
56	60	45
57	62	45
58	63	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
